id,Markdown data to construct field,narrative,Active,Role,Religious practice or teaching,Figures,Monasteries,Figure name,Monastery name,Formula
27,"[""[Chone](mon_26)|Student|none|Chone is where Ngawang Tsultrim was initially ordained as a novice and where he underwent the first stages of the monastic curriculum."", ""[Sera Me](mon_1)|Resident lama, patron, student|the Geluk curriculum|Sera Me was Ngawang Ts\u00fcltrim's home monastery, where he enrolled in 1745 and eventually attained a Geshe Lharampa degree. He entered because his local monastery of Chone had strong ties to Sera Me. he was especially devoted to patronizing Sera Me when he served as regent, sponsoring statues and housing for monks and funding for rituals (or simply coming for a visit). He was posthumously recognized as the Tshemonling lama and Sera Me became the home of this incarnation's labrang (estate). His biography was written by abbots of Sera Me"", ""[Yonghe Gong](mon_25)|Disciplinarian, preacher, imperial preceptor|Tsongkhapa's Lamrim, Guhyasamaja, Vajrabhairava, Chakrasamvara|From 1763 to 1777 he served as chief disciplinarian and preacher under the imperial preceptor Changkya Rolpe Dorje and the Qianlong emperor. In addition to teaching the monks he performed long life ceremonies for the emperor. During his own appointment as imperial preceptor or \""lama of the seal\"", he continued his role as preacher and tantric master, and also worked on a Manchu version of the Kangyur. The temple was the site of audiences between Ngawang Ts\u00fcltrim and the emperor which were opportunities for religious teaching and diplomacy between Tibet and the imperial throne.""]","From 1763 to 1777 Ngawang Tsültrim served as chief disciplinarian and preacher under the imperial preceptor Changkya Rolpe Dorje and the Qianlong emperor. In addition to teaching the monks he performed long life ceremonies for the emperor. During his own appointment as imperial preceptor or \""lama of the seal\"", he continued his role as preacher and tantric master, and also worked on a Manchu version of the Kangyur. The temple was the site of audiences between Ngawang Tsültrim and the emperor which were opportunities for religious teaching and diplomacy between Tibet and the imperial throne.",False,"Disciplinarian, preacher, imperial precepto","Tsongkhapa's Lamrim, Guhyasamaja, Vajrabhairava, Chakrasamvara",tm.fig.9,tm.mon.25,Ngawang Tsültrim,Yonghe Gong,"""[Ngawang Tsültrim](tm.fig.9)|[Yonghe Gong](tm.mon.25)|Disciplinarian, preacher, imperial precepto|Tsongkhapa's Lamrim, Guhyasamaja, Vajrabhairava, Chakrasamvara|From 1763 to 1777 Ngawang Tsültrim served as chief disciplinarian and preacher under the imperial preceptor Changkya Rolpe Dorje and the Qianlong emperor. In addition to teaching the monks he performed long life ceremonies for the emperor. During his own appointment as imperial preceptor or \\""""lama of the seal\\"""", he continued his role as preacher and tantric master, and also worked on a Manchu version of the Kangyur. The temple was the site of audiences between Ngawang Tsültrim and the emperor which were opportunities for religious teaching and diplomacy between Tibet and the imperial throne."""
28,"[""[Sangpu](mon_11)|Student|Kadmpa tradition, Pram\u0101\u1e47a, Praj\u00f1\u0101p\u0101ramit\u0101, Madhyamaka, Abhidharmako\u015ba, and Vinaya|He went through the standard monastic curriculum under abbot Shakya Zhonnu, in the early 14th century"", ""[Tsurphu](mon_12)|Student, Patron|Kalacakra, Chod|At a young age, inspired by a vision, he went to the monastery received teachings on Kalachakra and Ch\u00f6 from Sherab Pel, Nyenre Gendun Bum, Namtsowa Mikyo Dorje. He had new temple constructed with a gilded roof and secured an imperial tax exemption."", ""[Tsel Gungtang](mon_27)|Patron and overseer|Tselpa Kagyu|He was the teacher of the monastery's abbot Kunga Dorje and secrued from the emperor titles from him. As Karmapa he tried to maintain good relations between the Tselpa Kagyu school based here, and his own Karma Kagyu school""]","At a young age, inspired by a vision, the Third Karmapa went to the monastery of Tsurphu and received teachings on Kalachakra and Chöd from Sherab Pel, Nyenre Gendun Bum, and Namtsowa Mikyo Dorje. He had a new temple constructed with a gilded roof and secured an imperial tax exemption.",False,"Student, Patron","Kalacakra, Chod",tm.fig.10,tm.mon.12,"""Third Karmapa, Rangjung Dorje""",Tsurphu,"""[Third Karmapa, Rangjung Dorje](tm.fig.10)|[Tsurphu](tm.mon.12)|Student, Patron|Kalacakra, Chod|At a young age, inspired by a vision, the Third Karmapa went to the monastery of Tsurphu and received teachings on Kalachakra and Chöd from Sherab Pel, Nyenre Gendun Bum, and Namtsowa Mikyo Dorje. He had a new temple constructed with a gilded roof and secured an imperial tax exemption."""
29,"[""[Sangpu](mon_11)|Student|Kadmpa tradition, Pram\u0101\u1e47a, Praj\u00f1\u0101p\u0101ramit\u0101, Madhyamaka, Abhidharmako\u015ba, and Vinaya|He went through the standard monastic curriculum under abbot Shakya Zhonnu, in the early 14th century"", ""[Tsurphu](mon_12)|Student, Patron|Kalacakra, Chod|At a young age, inspired by a vision, he went to the monastery received teachings on Kalachakra and Ch\u00f6 from Sherab Pel, Nyenre Gendun Bum, Namtsowa Mikyo Dorje. He had new temple constructed with a gilded roof and secured an imperial tax exemption."", ""[Tsel Gungtang](mon_27)|Patron and overseer|Tselpa Kagyu|He was the teacher of the monastery's abbot Kunga Dorje and secrued from the emperor titles from him. As Karmapa he tried to maintain good relations between the Tselpa Kagyu school based here, and his own Karma Kagyu school""]","The Third Karmapa was the teacher of Tsel Gungtang's abbot Kunga Dorje and secured titles from him from the emperor. As Karmapa he tried to maintain good relations between the Tselpa Kagyu school based at Tsel, and his own Karma Kagyu school",False,Patron and overseer,Tselpa Kagyu,tm.fig.10,tm.mon.27,"""Third Karmapa, Rangjung Dorje""",Tsel Gungtang,"""[Third Karmapa, Rangjung Dorje](tm.fig.10)|[Tsel Gungtang](tm.mon.27)|Patron and overseer|Tselpa Kagyu|The Third Karmapa was the teacher of Tsel Gungtang's abbot Kunga Dorje and secured titles from him from the emperor. As Karmapa he tried to maintain good relations between the Tselpa Kagyu school based at Tsel, and his own Karma Kagyu school"""
30,,"Gyeltsabje Darma Rinchen helped to found the monastery of Ganden in 1409 and assisted with ordinations. He served as the second throne holder of Ganden (succeeding Tsongkhapa) from 1419 to 1432, engaging in scholarship and debate.",False,"Founder, Throne holder","Madhyamaka, Epistemology, Guhyasamaja",tm.fig.12,tm.mon.8,Gyeltsabje Darma Rinchen,Ganden,"""[Gyeltsabje Darma Rinchen](tm.fig.12)|[Ganden](tm.mon.8)|Founder, Throne holder|Madhyamaka, Epistemology, Guhyasamaja|Gyeltsabje Darma Rinchen helped to found the monastery of Ganden in 1409 and assisted with ordinations. He served as the second throne holder of Ganden (succeeding Tsongkhapa) from 1419 to 1432, engaging in scholarship and debate."""
32,,Gyeltsabje underwent some of his early education at Sangpu,False,student,Kadampa teachings,tm.fig.12,tm.mon.11,Gyeltsabje Darma Rinchen,Sangpu,[Gyeltsabje Darma Rinchen](tm.fig.12)|[Sangpu](tm.mon.11)|student|Kadampa teachings|Gyeltsabje underwent some of his early education at Sangpu
33,,Sakya was one of the monasteries where Gyeltsabje underwent his education. He successfully debated Rongton Sheja Kunrig and Khenchen Yagpa.,False,"Student, debater",Sakya philosophy,tm.fig.12,tm.mon.13,Gyeltsabje Darma Rinchen,Sakya,"""[Gyeltsabje Darma Rinchen](tm.fig.12)|[Sakya](tm.mon.13)|Student, debater|Sakya philosophy|Sakya was one of the monasteries where Gyeltsabje underwent his education. He successfully debated Rongton Sheja Kunrig and Khenchen Yagpa."""
34,,"Gyeltsabje did some of his early studies at the Kagyu monastery Tsetang, which was eventually converted to Geluk",False,Student,Kagyu teachings,tm.fig.12,tm.mon.38,Gyeltsabje Darma Rinchen,Tsetang,"""[Gyeltsabje Darma Rinchen](tm.fig.12)|[Tsetang](tm.mon.38)|Student|Kagyu teachings|Gyeltsabje did some of his early studies at the Kagyu monastery Tsetang, which was eventually converted to Geluk"""
31,,Jamyang Khyentse Wangpo was blessed by lamas (including his uncle) at the monastery of Katok and given a dharma name. One of his reincarnations was identified here.,False,Family member of lamas,Nyingma teachings,tm.fig.14,tm.mon.32,Jamyang Khyentse Wangpo,Katok,[Jamyang Khyentse Wangpo](tm.fig.14)|[Katok](tm.mon.32)|Family member of lamas|Nyingma teachings|Jamyang Khyentse Wangpo was blessed by lamas (including his uncle) at the monastery of Katok and given a dharma name. One of his reincarnations was identified here.
35,,"Jamyang Khyentse Wangpo was ordained as a monk at Mindroling, and received Nyingma treasure teachings (terma) and Sakya teachings.",False,"Ordainee, student","Terdak Lingpa, yangdak Heruka",tm.fig.14,tm.mon.39,Jamyang Khyentse Wangpo,Mindroling,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Mindroling](tm.mon.39)|Ordainee, student|Terdak Lingpa, yangdak Heruka|Jamyang Khyentse Wangpo was ordained as a monk at Mindroling, and received Nyingma treasure teachings (terma) and Sakya teachings."""
36,,"Jamyang Khyentse Wangpo exchanged empowerments with a lama at Shechen, giving a long life blessing in exchange for the Mayajala teachings",False,"Student, giver of long life empowerment",Mayajala,tm.fig.14,tm.mon.15,Jamyang Khyentse Wangpo,Shechen,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Shechen](tm.mon.15)|Student, giver of long life empowerment|Mayajala|Jamyang Khyentse Wangpo exchanged empowerments with a lama at Shechen, giving a long life blessing in exchange for the Mayajala teachings"""
37,,Jamyang Khyentse Wangpo took lay vows as a young child from the abbot of Ngor,False,Taker of vows,Buddhist lay vows,tm.fig.14,tm.mon.23,Jamyang Khyentse Wangpo,Ngor,[Jamyang Khyentse Wangpo](tm.fig.14)|[Ngor](tm.mon.23)|Taker of vows|Buddhist lay vows|Jamyang Khyentse Wangpo took lay vows as a young child from the abbot of Ngor
38,,"Jamyang Khyentse Wangpo had family connections to Dzongsar and it became his home monastery. He gave teachings to prominent treasure-revealer (terton) Chokgyur Lingpa here, on the subject of how to be a terton. Jamyang Khyentsen engaged in political negotiations to protect Dzongsar in an Eastern Tibetan war, and organized in construction projects to expand it. Several of his reincarnations have been recognized at this monastery",False,"Head lama, family monastery, teacher","Hevajra, Kriya tantras, treasure-revealing empowerments",tm.fig.14,tm.mon.30,Jamyang Khyentse Wangpo,Dzongsar,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Dzongsar](tm.mon.30)|Head lama, family monastery, teacher|Hevajra, Kriya tantras, treasure-revealing empowerments|Jamyang Khyentse Wangpo had family connections to Dzongsar and it became his home monastery. He gave teachings to prominent treasure-revealer (terton) Chokgyur Lingpa here, on the subject of how to be a terton. Jamyang Khyentsen engaged in political negotiations to protect Dzongsar in an Eastern Tibetan war, and organized in construction projects to expand it. Several of his reincarnations have been recognized at this monastery"""
39,,"Jamyang Khyentse Wangpo went to Pelpung to take teachings from Jamgon Kongtrul, including Chandragomin's grammar. On later visits, he received the Jonang teachings of Taranatha, and helped consecrate Jamgon Kongtrul's hermitage. Jamyang Khyentse Wangpo also gave the empowerment for his own sadhana collection at Pelpung. One of his incarnations Karma Khyentse Wozer was recognized here",False,"Pilgrim, student, teacher","Sanskrit, Jonang teachings, Kalachakra, Drubtab Kundu (Sakya sasdhanas)",tm.fig.14,tm.mon.17,Jamyang Khyentse Wangpo,Pelpung,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Pelpung](tm.mon.17)|Pilgrim, student, teacher|Sanskrit, Jonang teachings, Kalachakra, Drubtab Kundu (Sakya sasdhanas)|Jamyang Khyentse Wangpo went to Pelpung to take teachings from Jamgon Kongtrul, including Chandragomin's grammar. On later visits, he received the Jonang teachings of Taranatha, and helped consecrate Jamgon Kongtrul's hermitage. Jamyang Khyentse Wangpo also gave the empowerment for his own sadhana collection at Pelpung. One of his incarnations Karma Khyentse Wozer was recognized here"""
40,,Jamyang Khyentse Wangpo studied with the Sakya throne holders and also wrote his compendium of Sakya sadhanas at Sakya.,False,"Student, scholar",Sakya tantric teachings,tm.fig.14,tm.mon.13,Jamyang Khyentse Wangpo,Sakya,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Sakya](tm.mon.13)|Student, scholar|Sakya tantric teachings|Jamyang Khyentse Wangpo studied with the Sakya throne holders and also wrote his compendium of Sakya sadhanas at Sakya."""
41,,"Jamyang Khyentse Wangpo helped consecrate the hermitage of his teacher Jamgon Kongtrul's hermitage, Tsadra Rinchen Drak",False,Consecrator,,tm.fig.14,tm.mon.18,Jamyang Khyentse Wangpo,Tsadra Rinchen Drak,"""[Jamyang Khyentse Wangpo](tm.fig.14)|[Tsadra Rinchen Drak](tm.mon.18)|Consecrator||Jamyang Khyentse Wangpo helped consecrate the hermitage of his teacher Jamgon Kongtrul's hermitage, Tsadra Rinchen Drak"""
42,,"Drakpa Gyaltsen was born into the family of the Sakya patriarchs, grew up around Sakya monastery, and took up the role of patriarch informally at the age of 13 and officially at the age of 26. He became an expert at an early age on all the Sakya teachings and gave teachings on them. Drakpa Gyaltsen also wrote commentaries on the lives of previous teachers at Sakya, built stupas and statues to commemorate his forebears and siblings, and had a temple constructed on Sakya monastery grounds. He remained in the role of throne holder until his death at age 70. It is said that he accumulated no wealth as the Sakya throne holder",False,Patriarch/throne holder,"Hevajra teachings,  Twenty Verses on the Bodhisattva Vows, Samvara Vimsatika, Sararodhbuta sadhana",tm.fig.15,tm.mon.13,Drakpa Gyeltsen,Sakya,"""[Drakpa Gyeltsen](tm.fig.15)|[Sakya](tm.mon.13)|Patriarch/throne holder|Hevajra teachings,  Twenty Verses on the Bodhisattva Vows, Samvara Vimsatika, Sararodhbuta sadhana|Drakpa Gyaltsen was born into the family of the Sakya patriarchs, grew up around Sakya monastery, and took up the role of patriarch informally at the age of 13 and officially at the age of 26. He became an expert at an early age on all the Sakya teachings and gave teachings on them. Drakpa Gyaltsen also wrote commentaries on the lives of previous teachers at Sakya, built stupas and statues to commemorate his forebears and siblings, and had a temple constructed on Sakya monastery grounds. He remained in the role of throne holder until his death at age 70. It is said that he accumulated no wealth as the Sakya throne holder"""
43,,"Rendawa Shonnu Lodro taught Tsongkhapa here, and Tsongkhapa wrote the Miktsema verses in his honor; Rendawa rededicated them to Tsongkhapa.",False,teacher,Mikstema,tm.fig.16,tm.mon.40,Rendawa Shonnu Lodro,Reting,"""[Rendawa Shonnu Lodro](tm.fig.16)|[Reting](tm.mon.40)|teacher|Mikstema|Rendawa Shonnu Lodro taught Tsongkhapa here, and Tsongkhapa wrote the Miktsema verses in his honor; Rendawa rededicated them to Tsongkhapa."""
44,,"Rendawa Shonnu Lodro received his novice and primary vows at Sakya monastery, and studied the five core subjects of logic, Perfection of Wisdom, Abhidharma, Vinaya, and Madhyamaka philosophy. He completed his debating exams on these subjects and went on to study the Sakya tanric systems like Guhyasamaja and Heruka",False,student,"logic, epistemology, Heruka, Guhyasamaja",tm.fig.16,tm.mon.13,Rendawa Shonnu Lodro,Sakya,"""[Rendawa Shonnu Lodro](tm.fig.16)|[Sakya](tm.mon.13)|student|logic, epistemology, Heruka, Guhyasamaja|Rendawa Shonnu Lodro received his novice and primary vows at Sakya monastery, and studied the five core subjects of logic, Perfection of Wisdom, Abhidharma, Vinaya, and Madhyamaka philosophy. He completed his debating exams on these subjects and went on to study the Sakya tanric systems like Guhyasamaja and Heruka"""
45,,"Chokgyur Lingpa visited Katok with the lamas Khyentse Wangpo and Jamgon Kongtrul, and did consecrations and empowerments, and received transmissions.",False,"pilgrim, teacher",Barche Kunsel,tm.fig.17,tm.mon.32,Chokgyur Lingpa,Katok,"""[Chokgyur Lingpa](tm.fig.17)|[Katok](tm.mon.32)|pilgrim, teacher|Barche Kunsel|Chokgyur Lingpa visited Katok with the lamas Khyentse Wangpo and Jamgon Kongtrul, and did consecrations and empowerments, and received transmissions."""
46,,Chokgyur Lingpa went on pilgrimage to Mindroling toward the end of his life,False,Pilgrim,,tm.fig.17,tm.mon.39,Chokgyur Lingpa,Mindroling,[Chokgyur Lingpa](tm.fig.17)|[Mindroling](tm.mon.39)|Pilgrim||Chokgyur Lingpa went on pilgrimage to Mindroling toward the end of his life
47,,Chokgyur Lingps went on pilgrimage to Dorje Drak toward the end of his life,False,Pilgrim,,tm.fig.17,tm.mon.4,Chokgyur Lingpa,Dorje Drak,[Chokgyur Lingpa](tm.fig.17)|[Dorje Drak](tm.mon.4)|Pilgrim||Chokgyur Lingps went on pilgrimage to Dorje Drak toward the end of his life
48,,Chokgyur Lingpa met with the resident tulku at Dzogchen monastery and uncovered a certain casket of treasure teachings,False,Treasure revealer,"""buddha attributes"", gazetteer",tm.fig.17,tm.mon.7,Chokgyur Lingpa,Dzogchen,"""[Chokgyur Lingpa](tm.fig.17)|[Dzogchen](tm.mon.7)|Treasure revealer|""""buddha attributes"""", gazetteer|Chokgyur Lingpa met with the resident tulku at Dzogchen monastery and uncovered a certain casket of treasure teachings"""
49,,"Chokgyur Lingpa founded Neten monastery at the end of his life, and it became the seat of the Chokling incarnation lineage. He died there and his relics were kept at Neten.",False,Founder,,tm.fig.17,tm.mon.41,Chokgyur Lingpa,Neten,"""[Chokgyur Lingpa](tm.fig.17)|[Neten](tm.mon.41)|Founder||Chokgyur Lingpa founded Neten monastery at the end of his life, and it became the seat of the Chokling incarnation lineage. He died there and his relics were kept at Neten."""
50,,Chokgyur Lingpa visited Drigung on a tour of U and Tsang and gave treasure empowerments,False,"Pilgrim, empowerment giver",Drigung Kagyu,tm.fig.17,tm.mon.6,Chokgyur Lingpa,Drigung,"""[Chokgyur Lingpa](tm.fig.17)|[Drigung](tm.mon.6)|Pilgrim, empowerment giver|Drigung Kagyu|Chokgyur Lingpa visited Drigung on a tour of U and Tsang and gave treasure empowerments"""
51,,Chokgyur Lingpa visited Tsurphu on a tour of U and Tsang and gave treasure empowerments. He also met the 14th Karmapa here,False,"pilgrim, empowerment giver",treasure empowerments,tm.fig.17,tm.mon.12,Chokgyur Lingpa,Tsurphu,"""[Chokgyur Lingpa](tm.fig.17)|[Tsurphu](tm.mon.12)|pilgrim, empowerment giver|treasure empowerments|Chokgyur Lingpa visited Tsurphu on a tour of U and Tsang and gave treasure empowerments. He also met the 14th Karmapa here"""
52,,Chokgyur Lingpa visited Samye on a trip to central Tibet toward the end of his life,False,pilgrim,,tm.fig.17,tm.mon.20,Chokgyur Lingpa,Samye,[Chokgyur Lingpa](tm.fig.17)|[Samye](tm.mon.20)|pilgrim||Chokgyur Lingpa visited Samye on a trip to central Tibet toward the end of his life
53,,"Chokgyur Lingpa met Kheyntse Wangpo at Dzongsar, and received initial empowerments. Later on, they collaborated on liturgies for their treasure cycles. Chokgyur Lingpa opened up a sacred cave (confirming that it was a site associated with Padmasambhava) for Khyenste Wangpo and revealed two treasure texts on the site. He also consecrated the nearby cliff hermitage of Rongme Chimo Karmo Taktsang.",False,"student, receiver of empowerments, scholar, treasure revealer","Purba Yangsang Putri, Dzongsar De Sum",tm.fig.17,tm.mon.30,Chokgyur Lingpa,Dzongsar,"""[Chokgyur Lingpa](tm.fig.17)|[Dzongsar](tm.mon.30)|student, receiver of empowerments, scholar, treasure revealer|Purba Yangsang Putri, Dzongsar De Sum|Chokgyur Lingpa met Kheyntse Wangpo at Dzongsar, and received initial empowerments. Later on, they collaborated on liturgies for their treasure cycles. Chokgyur Lingpa opened up a sacred cave (confirming that it was a site associated with Padmasambhava) for Khyenste Wangpo and revealed two treasure texts on the site. He also consecrated the nearby cliff hermitage of Rongme Chimo Karmo Taktsang."""
54,,Chokgyur Lingpa paid a visit to the Fourteenth Karmapa at Karma Gon and the nearby site of Okmin Karma,False,Pilgrim,,tm.fig.17,tm.mon.36,Chokgyur Lingpa,Karma Gon,[Chokgyur Lingpa](tm.fig.17)|[Karma Gon](tm.mon.36)|Pilgrim||Chokgyur Lingpa paid a visit to the Fourteenth Karmapa at Karma Gon and the nearby site of Okmin Karma
55,,"On Chokgyur Lingpa's first visit to Pelpung, he met the Tai Situ incarnation. He was able to gain this meeting due to a treasure prophecy, and was introduced to Jamgon Kongtrul, but he did not receive the authentication he sought. Chokgyur Lingpa did receive bodhisattva vows and tantric vows at Pelpung. On a second visit, he cured Jamgon Kongtrul of an eye disease. He later visited and consecrated Jamgon Kongtrul's hermitage here, and got a much better reception. Chokgyur Lingpa gave Jamgon Kongtrul empowerments of his own treasure revelations, indicating that Jamgon Kongtrul viewed him as an authentic revealer of treasure.",False,"student, empowerment giver",,tm.fig.17,tm.mon.17,Chokgyur Lingpa,Pelpung,"""[Chokgyur Lingpa](tm.fig.17)|[Pelpung](tm.mon.17)|student, empowerment giver||On Chokgyur Lingpa's first visit to Pelpung, he met the Tai Situ incarnation. He was able to gain this meeting due to a treasure prophecy, and was introduced to Jamgon Kongtrul, but he did not receive the authentication he sought. Chokgyur Lingpa did receive bodhisattva vows and tantric vows at Pelpung. On a second visit, he cured Jamgon Kongtrul of an eye disease. He later visited and consecrated Jamgon Kongtrul's hermitage here, and got a much better reception. Chokgyur Lingpa gave Jamgon Kongtrul empowerments of his own treasure revelations, indicating that Jamgon Kongtrul viewed him as an authentic revealer of treasure."""
56,,,False,,,tm.fig.17,tm.mon.18,Chokgyur Lingpa,Tsadra Rinchen Drak,[Chokgyur Lingpa](tm.fig.17)|[Tsadra Rinchen Drak](tm.mon.18)|||
57,,,False,,,tm.fig.18,tm.mon.11,Longchenpa Drime Oser,Sangpu,[Longchenpa Drime Oser](tm.fig.18)|[Sangpu](tm.mon.11)|||
58,,,False,,,tm.fig.18,tm.mon.20,Longchenpa Drime Oser,Samye,[Longchenpa Drime Oser](tm.fig.18)|[Samye](tm.mon.20)|||
59,,,False,,,tm.fig.19,tm.mon.11,Rongton Sheja Kunrig,Sangpu,[Rongton Sheja Kunrig](tm.fig.19)|[Sangpu](tm.mon.11)|||
60,,,False,,,tm.fig.19,tm.mon.22,Rongton Sheja Kunrig,Nalendra,[Rongton Sheja Kunrig](tm.fig.19)|[Nalendra](tm.mon.22)|||
61,,,False,,,tm.fig.20,tm.mon.37,Changkya Rolpai Dorje,Tashilhunpo,[Changkya Rolpai Dorje](tm.fig.20)|[Tashilhunpo](tm.mon.37)|||
62,,,False,,,tm.fig.20,tm.mon.42,Changkya Rolpai Dorje,Gonlung Jampa Ling,[Changkya Rolpai Dorje](tm.fig.20)|[Gonlung Jampa Ling](tm.mon.42)|||
63,,,False,,,tm.fig.21,tm.mon.10,The First Zhamarpa Drakpa Sengge,Jonang,[The First Zhamarpa Drakpa Sengge](tm.fig.21)|[Jonang](tm.mon.10)|||
64,,,False,,,tm.fig.21,tm.mon.11,The First Zhamarpa Drakpa Sengge,Sangpu,[The First Zhamarpa Drakpa Sengge](tm.fig.21)|[Sangpu](tm.mon.11)|||
65,,,False,,,tm.fig.21,tm.mon.12,The First Zhamarpa Drakpa Sengge,Tsurphu,[The First Zhamarpa Drakpa Sengge](tm.fig.21)|[Tsurphu](tm.mon.12)|||
66,,,False,,,tm.fig.21,tm.mon.43,The First Zhamarpa Drakpa Sengge,Dechen Teng,[The First Zhamarpa Drakpa Sengge](tm.fig.21)|[Dechen Teng](tm.mon.43)|||
67,,,False,,,tm.fig.23,tm.mon.8,Gendun Drub (First Dalai Lama),Ganden,[Gendun Drub (First Dalai Lama)](tm.fig.23)|[Ganden](tm.mon.8)|||
68,,,False,,,tm.fig.23,tm.mon.37,Gendun Drub (First Dalai Lama),Tashilhunpo,[Gendun Drub (First Dalai Lama)](tm.fig.23)|[Tashilhunpo](tm.mon.37)|||
69,,,False,,,tm.fig.23,tm.mon.44,Gendun Drub (First Dalai Lama),Nartang,[Gendun Drub (First Dalai Lama)](tm.fig.23)|[Nartang](tm.mon.44)|||
70,,,False,,,tm.fig.25,tm.mon.62,Orgyan Tendzin Norbu,Bodong E,[Orgyan Tendzin Norbu](tm.fig.25)|[Bodong E](tm.mon.62)|||
71,,,False,,,tm.fig.25,tm.mon.79,Orgyan Tendzin Norbu,Kailash,[Orgyan Tendzin Norbu](tm.fig.25)|[Kailash](tm.mon.79)|||
72,,,False,,,tm.fig.26,tm.mon.11,Sonam Tsemo,Sangpu,[Sonam Tsemo](tm.fig.26)|[Sangpu](tm.mon.11)|||
73,,,False,,,tm.fig.26,tm.mon.13,Sonam Tsemo,Sakya,[Sonam Tsemo](tm.fig.26)|[Sakya](tm.mon.13)|||
74,,,False,,,tm.fig.27,tm.mon.10,"""Lama Dampa Sonam Gyeltsen
""",Jonang,"""[Lama Dampa Sonam Gyeltsen
](tm.fig.27)|[Jonang](tm.mon.10)|||"""
75,,,False,,,tm.fig.27,tm.mon.46,"""Lama Dampa Sonam Gyeltsen
""",Nyetang Drolma Lhakang,"""[Lama Dampa Sonam Gyeltsen
](tm.fig.27)|[Nyetang Drolma Lhakang](tm.mon.46)|||"""
76,,,False,,,tm.fig.27,tm.mon.13,"""Lama Dampa Sonam Gyeltsen
""",Sakya,"""[Lama Dampa Sonam Gyeltsen
](tm.fig.27)|[Sakya](tm.mon.13)|||"""
77,,,False,,,tm.fig.28,tm.mon.47,Go Lotsawa Shonnu Pel,Yangpachen,[Go Lotsawa Shonnu Pel](tm.fig.28)|[Yangpachen](tm.mon.47)|||
78,,,False,,,tm.fig.29,tm.mon.37,"""5th Panchen Lama, Lobzang Yeshe""",Tashilhunpo,"""[5th Panchen Lama, Lobzang Yeshe](tm.fig.29)|[Tashilhunpo](tm.mon.37)|||"""
79,,,False,,,tm.fig.29,tm.mon.14,"""5th Panchen Lama, Lobzang Yeshe""",Chakpori,"""[5th Panchen Lama, Lobzang Yeshe](tm.fig.29)|[Chakpori](tm.mon.14)|||"""
80,,,False,,,tm.fig.29,tm.mon.48,"""5th Panchen Lama, Lobzang Yeshe""",Potala,"""[5th Panchen Lama, Lobzang Yeshe](tm.fig.29)|[Potala](tm.mon.48)|||"""
81,,,False,,,tm.fig.30,tm.mon.44,"""Puntsok Pelzang
""",Nartang,"""[Puntsok Pelzang
](tm.fig.30)|[Nartang](tm.mon.44)|||"""
82,,,False,,,tm.fig.30,tm.mon.49,"""Puntsok Pelzang
""",Taklung,"""[Puntsok Pelzang
](tm.fig.30)|[Taklung](tm.mon.49)|||"""
83,,,False,,,tm.fig.30,tm.mon.11,"""Puntsok Pelzang
""",Sangpu,"""[Puntsok Pelzang
](tm.fig.30)|[Sangpu](tm.mon.11)|||"""
84,,,False,,,tm.fig.30,tm.mon.12,"""Puntsok Pelzang
""",Tsurphu,"""[Puntsok Pelzang
](tm.fig.30)|[Tsurphu](tm.mon.12)|||"""
85,,,False,,,tm.fig.31,tm.mon.50,Zhabkar Tsokdruk Rangdrol,Boudanath,[Zhabkar Tsokdruk Rangdrol](tm.fig.31)|[Boudanath](tm.mon.50)|||
86,,,False,,,tm.fig.31,tm.mon.58,Zhabkar Tsokdruk Rangdrol,Dobi Ganden Pelgye Ling,[Zhabkar Tsokdruk Rangdrol](tm.fig.31)|[Dobi Ganden Pelgye Ling](tm.mon.58)|||
87,,,False,,,tm.fig.31,tm.mon.79,Zhabkar Tsokdruk Rangdrol,Kailash,[Zhabkar Tsokdruk Rangdrol](tm.fig.31)|[Kailash](tm.mon.79)|||
88,,,False,,,tm.fig.33,tm.mon.4,"""The First Dzogchen Drubwang, Pema Rigdzin""",Dorje Drak,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Dorje Drak](tm.mon.4)|||"""
89,,,False,,,tm.fig.33,tm.mon.7,"""The First Dzogchen Drubwang, Pema Rigdzin""",Dzogchen,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Dzogchen](tm.mon.7)|||"""
90,,,False,,,tm.fig.33,tm.mon.52,"""The First Dzogchen Drubwang, Pema Rigdzin""",Pelyul,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Pelyul](tm.mon.52)|||"""
91,,,False,,,tm.fig.33,tm.mon.29,"""The First Dzogchen Drubwang, Pema Rigdzin""",Sekhar Gutok,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Sekhar Gutok](tm.mon.29)|||"""
92,,,False,,,tm.fig.33,tm.mon.1,"""The First Dzogchen Drubwang, Pema Rigdzin""",Sera Me,"""[The First Dzogchen Drubwang, Pema Rigdzin](tm.fig.33)|[Sera Me](tm.mon.1)|||"""
